Date;2015;2016;2017;2018;2019;2020;2021
12.09.2020;11;13;13;5;9;14;
13.09.2020;12;10;24;12;17;25;
14.09.2020;16;14;19;10;11;24;
15.09.2020;16;8;12;8;13;27;
16.09.2020;10;15;16;10;9;23;
17.09.2020;9;18;13;19;13;19;
18.09.2020;16;8;25;11;10;16;
19.09.2020;8;23;13;18;6;24;
20.09.2020;12;9;10;15;12;22;
21.09.2020;10;15;10;15;13;25;
22.09.2020;5;19;19;15;4;17;
23.09.2020;18;17;10;12;12;11;
24.09.2020;12;16;3;18;7;19;
25.09.2020;7;12;13;7;9;24;
26.09.2020;20;22;21;15;14;21;
27.09.2020;14;13;16;12;13;20;
28.09.2020;15;16;10;17;6;21;
29.09.2020;12;15;14;11;16;18;
30.09.2020;16;16;14;14;11;18;
01.10.2020;19;13;12;19;12;20;
02.10.2020;18;9;17;12;13;18;
03.10.2020;9;13;7;15;15;22;
04.10.2020;11;11;13;12;12;11;
05.10.2020;19;7;15;13;15;15;
06.10.2020;19;17;10;11;11;23;
07.10.2020;8;12;7;10;19;9;
08.10.2020;14;17;15;15;10;16;
09.10.2020;9;6;17;10;10;22;
10.10.2020;12;12;16;18;11;18;
11.10.2020;8;20;12;13;12;9;
12.10.2020;17;14;14;14;12;14;
13.10.2020;15;10;12;10;9;12;
14.10.2020;10;29;9;15;21;18;
15.10.2020;13;9;12;13;16;27;
16.10.2020;7;18;15;16;21;17;
17.10.2020;11;18;8;14;12;15;
18.10.2020;11;18;7;21;20;17;
19.10.2020;16;10;10;11;7;18;
20.10.2020;12;21;16;10;14;19;
21.10.2020;12;15;10;13;15;14;
22.10.2020;13;11;18;17;14;16;
23.10.2020;24;6;15;14;6;15;
24.10.2020;11;13;9;15;15;20;
25.10.2020;7;17;9;15;7;22;
26.10.2020;22;11;13;14;10;20;
27.10.2020;14;9;13;15;11;18;
28.10.2020;20;12;15;13;18;12;
29.10.2020;10;10;17;15;13;13;
30.10.2020;7;14;13;17;11;20;
31.10.2020;8;17;14;12;21;12;
01.11.2020;11;16;14;13;9;12;
02.11.2020;16;10;11;24;10;17;
