date;2015;2016;2017;2018;2019;2020;2021
08.12.2020;;;;19;14;41;
09.12.2020;;;;22;32;45;
10.12.2020;;;;20;26;61;
11.12.2020;;;;30;19;46;
12.12.2020;;;;24;20;44;
13.12.2020;;;;24;32;43;
14.12.2020;;;;20;27;51;
15.12.2020;;;;19;30;40;
16.12.2020;;;;21;28;51;
17.12.2020;;;;28;26;31;
18.12.2020;;;;23;26;49;
19.12.2020;;;;27;26;48;
20.12.2020;;;;27;37;43;
21.12.2020;;;;23;30;38;
22.12.2020;;;;31;28;34;
23.12.2020;;;;25;27;28;
24.12.2020;;;;29;29;45;
25.12.2020;;;;34;23;36;
26.12.2020;;;;34;25;40;
27.12.2020;;;;26;36;30;
28.12.2020;;;;24;28;40;
29.12.2020;;;;25;24;39;
30.12.2020;;;;28;30;38;38
31.12.2020;;;;32;34;33;33
