Date;2015;2016;2017;2018;2019;2020
20.08.2020;66;66;74;82;92;65
21.08.2020;72;76;90;79;52;86
22.08.2020;67;85;82;78;75;89
23.08.2020;49;71;78;85;87;83
24.08.2020;69;76;65;88;75;88
25.08.2020;66;79;74;74;73;92
26.08.2020;81;78;73;94;98;68
27.08.2020;84;62;55;72;64;84
28.08.2020;64;76;74;68;96;84
29.08.2020;70;82;68;89;82;75
30.08.2020;77;50;80;69;72;98
31.08.2020;77;77;71;73;78;76
01.09.2020;61;69;71;56;74;98
02.09.2020;61;83;61;99;69;77
03.09.2020;63;61;76;90;75;104
04.09.2020;76;63;68;91;67;83
05.09.2020;64;81;49;81;80;80
06.09.2020;60;58;62;81;83;88
07.09.2020;76;68;83;76;71;86
08.09.2020;77;82;65;68;76;97
09.09.2020;66;85;48;57;79;79
10.09.2020;74;79;80;80;65;86
11.09.2020;76;76;74;60;50;97
12.09.2020;60;92;85;73;91;80
13.09.2020;65;82;56;71;65;101
14.09.2020;71;63;98;69;69;81
15.09.2020;58;69;70;64;61;88
16.09.2020;59;58;73;92;72;91
17.09.2020;84;46;79;103;80;94
18.09.2020;49;69;80;61;83;95
19.09.2020;71;66;88;68;87;88
20.09.2020;53;78;84;78;62;80
21.09.2020;54;53;70;75;81;82
22.09.2020;52;76;61;78;62;75
23.09.2020;42;80;68;66;70;72
24.09.2020;64;71;68;85;72;74
25.09.2020;44;70;69;66;67;70
26.09.2020;67;75;76;72;73;62
27.09.2020;62;91;66;75;75;80
28.09.2020;66;82;76;78;69;84
29.09.2020;56;89;88;72;70;74
30.09.2020;64;61;62;70;74;74
01.10.2020;68;64;69;64;77;91
02.10.2020;72;67;70;81;87;75
03.10.2020;53;88;75;67;84;65
04.10.2020;71;72;83;64;92;97
05.10.2020;72;82;65;76;76;74
06.10.2020;62;71;75;56;70;84
07.10.2020;58;64;75;66;68;100
08.10.2020;65;69;61;67;79;85
09.10.2020;64;85;71;72;61;96
10.10.2020;50;96;68;89;67;91
11.10.2020;73;64;77;75;80;87
12.10.2020;53;88;64;68;59;111
13.10.2020;77;71;74;88;66;79
14.10.2020;66;74;72;82;83;77
15.10.2020;59;77;71;80;86;71
16.10.2020;61;83;69;83;90;90
17.10.2020;49;78;89;78;75;96
18.10.2020;76;70;72;68;76;84
19.10.2020;78;58;81;82;63;77
20.10.2020;59;60;76;82;67;73
21.10.2020;68;65;57;63;67;86
22.10.2020;88;63;79;75;62;92
23.10.2020;83;75;81;67;79;78
24.10.2020;67;83;65;80;62;97
25.10.2020;71;80;75;72;71;85
26.10.2020;65;91;92;71;64;95
27.10.2020;63;73;84;81;85;75
28.10.2020;83;75;75;77;84;84
29.10.2020;69;57;72;78;67;114
30.10.2020;61;68;88;76;74;170
31.10.2020;77;87;67;66;47;84
01.11.2020;79;76;70;86;69;85
02.11.2020;64;77;66;71;75;84
03.11.2020;76;94;94;76;88;97
04.11.2020;77;78;74;73;87;90
05.11.2020;79;71;78;83;76;102
06.11.2020;71;88;74;74;77;83
07.11.2020;71;87;74;80;85;100
08.11.2020;66;67;81;83;94;112
09.11.2020;74;85;92;73;79;100
10.11.2020;65;78;81;72;76;117
11.11.2020;73;68;82;73;64;118
12.11.2020;73;59;71;80;81;97
13.11.2020;74;80;82;64;81;117
14.11.2020;62;74;77;90;76;115
15.11.2020;88;99;75;67;69;121
16.11.2020;89;55;80;88;75;156
17.11.2020;71;77;76;97;68;115
18.11.2020;88;71;68;61;65;137
19.11.2020;68;85;75;104;79;146
20.11.2020;68;88;50;74;76;140
21.11.2020;55;65;68;92;77;160
22.11.2020;83;89;101;86;73;154
23.11.2020;73;77;87;69;77;150
24.11.2020;78;88;86;63;67;163
25.11.2020;64;80;82;79;67;159
26.11.2020;78;85;82;86;72;167
27.11.2020;69;88;79;82;85;159
28.11.2020;75;95;100;82;90;189
29.11.2020;63;80;76;89;96;160
30.11.2020;64;72;75;64;74;191
01.12.2020;76;72;89;82;66;194
02.12.2020;81;82;70;98;81;177
03.12.2020;71;62;78;84;91;196
04.12.2020;53;80;80;88;78;178
05.12.2020;58;85;97;83;86;193
06.12.2020;64;70;58;99;64;147
07.12.2020;87;76;81;82;71;163
08.12.2020;80;65;79;70;71;147
09.12.2020;72;91;85;70;81;171
10.12.2020;68;85;78;73;87;177
11.12.2020;74;58;98;94;70;
12.12.2020;85;90;70;71;68;
13.12.2020;85;90;74;81;77;
14.12.2020;78;83;72;77;95;
15.12.2020;71;82;72;89;61;
16.12.2020;75;83;94;93;75;
17.12.2020;81;72;75;89;68;
18.12.2020;62;99;94;74;84;
19.12.2020;58;88;77;79;90;
20.12.2020;88;83;70;71;76;
21.12.2020;83;87;80;94;71;
22.12.2020;86;80;93;101;79;
23.12.2020;73;94;72;95;97;
24.12.2020;88;84;81;86;95;
25.12.2020;79;97;88;84;98;
26.12.2020;82;80;81;81;88;
27.12.2020;74;96;76;83;76;
28.12.2020;75;102;90;100;86;
29.12.2020;91;93;81;94;87;
30.12.2020;87;91;77;79;83;
31.12.2020;78;70;69;92;74;
