Date;2015;2016;2017;2018;2019;2020
10.10.2020;2;;1;1;;
11.10.2020;;2;;;1;
12.10.2020;;;1;2;;
13.10.2020;;;1;;;2
14.10.2020;2;;3;1;;
15.10.2020;;1;;;;1
16.10.2020;1;1;1;;;1
17.10.2020;;;1;;;1
18.10.2020;;1;1;;;
19.10.2020;;2;2;;1;2
20.10.2020;1;;;;;
21.10.2020;;2;;;1;1
22.10.2020;2;;1;;;1
23.10.2020;;2;;;1;
24.10.2020;;;2;1;2;1
25.10.2020;;2;;1;;2
26.10.2020;1;;;;1;
27.10.2020;;;1;;;
28.10.2020;;3;1;;2;2
29.10.2020;2;1;;1;;
30.10.2020;1;;1;;1;1
31.10.2020;;;1;1;2;1
01.11.2020;2;2;;1;1;2
02.11.2020;;;1;1;1;1
03.11.2020;1;;1;;;3
04.11.2020;;;1;;;
05.11.2020;;;;2;3;
06.11.2020;2;1;1;1;;
07.11.2020;;2;;;;
08.11.2020;2;1;;1;1;
09.11.2020;;;;1;1;
10.11.2020;;;;;;1
11.11.2020;;;;;;2
12.11.2020;;1;;1;2;1
13.11.2020;;2;;;;1
14.11.2020;;;;;1;2
15.11.2020;;1;;;;3
16.11.2020;;;;;;1
17.11.2020;1;;1;;;2
18.11.2020;;;;;2;
19.11.2020;;2;1;1;;
20.11.2020;;;1;;1;
21.11.2020;3;1;1;1;;3
22.11.2020;4;;;;2;1
23.11.2020;1;2;1;;1;
24.11.2020;;;2;1;;4
25.11.2020;;1;;1;;1
26.11.2020;;;;2;1;3
27.11.2020;;;1;1;;2
28.11.2020;;1;2;3;;1
29.11.2020;2;;1;1;2;2
30.11.2020;2;;;1;;1
01.12.2020;;1;1;1;;
02.12.2020;;;;;;1
03.12.2020;;;2;1;1;
04.12.2020;;1;3;1;2;3
05.12.2020;1;1;1;1;;1
06.12.2020;1;2;;;1;
07.12.2020;;1;;2;2;3
08.12.2020;;;1;;1;2
09.12.2020;;;;;2;2
10.12.2020;;;;2;;2
11.12.2020;1;1;;;;5
12.12.2020;;;1;1;;1
13.12.2020;;2;1;1;1;
14.12.2020;1;1;;;1;
15.12.2020;;1;1;;;
16.12.2020;1;;1;;2;
17.12.2020;1;;1;;;
18.12.2020;;1;2;1;3;
19.12.2020;;;;;1;
20.12.2020;;2;2;3;;
21.12.2020;1;;1;1;;
22.12.2020;1;1;1;;1;
23.12.2020;4;;1;;;
24.12.2020;1;1;;1;;
25.12.2020;;;;;1;
26.12.2020;;1;;;;
27.12.2020;;1;;;1;
28.12.2020;;2;2;1;;
29.12.2020;2;;1;1;1;
30.12.2020;1;4;;;3;
31.12.2020;1;;;1;2;
