Date;2015;2016;2017;2018;2019;2020
20.09.2020;;1;4;3;3;7
21.09.2020;;;3;6;5;8
22.09.2020;;3;2;3;5;9
23.09.2020;;3;;1;2;5
24.09.2020;;2;4;4;4;10
25.09.2020;;1;3;3;8;8
26.09.2020;;1;;4;6;5
27.09.2020;;1;2;3;5;9
28.09.2020;4;5;2;2;7;6
29.09.2020;35;7;3;1;4;6
30.09.2020;3;5;2;;3;7
01.10.2020;3;4;2;2;2;2
02.10.2020;4;2;3;1;8;11
03.10.2020;;5;4;5;5;6
04.10.2020;;1;1;2;4;5
05.10.2020;7;2;2;1;4;7
06.10.2020;3;;2;4;5;5
07.10.2020;7;1;4;1;3;5
08.10.2020;3;2;5;2;1;9
09.10.2020;1;2;1;4;3;9
10.10.2020;;3;2;4;3;6
11.10.2020;;1;4;3;3;8
12.10.2020;9;6;2;1;4;4
13.10.2020;2;2;1;2;2;4
14.10.2020;1;4;2;1;6;4
15.10.2020;2;2;2;1;2;7
16.10.2020;3;3;3;3;5;8
17.10.2020;;1;2;1;4;8
18.10.2020;;3;7;4;1;12
19.10.2020;5;5;4;3;3;9
20.10.2020;1;3;8;3;1;6
21.10.2020;4;5;5;6;3;5
22.10.2020;2;2;3;4;3;7
23.10.2020;6;3;1;1;6;2
24.10.2020;;4;4;3;3;13
25.10.2020;;4;2;8;5;3
26.10.2020;11;2;2;;1;13
27.10.2020;4;2;7;4;4;7
28.10.2020;1;3;7;2;1;7
29.10.2020;;6;3;2;6;10
30.10.2020;;;3;3;1;8
31.10.2020;;3;6;3;3;10
01.11.2020;;5;2;1;4;7
02.11.2020;16;2;;1;4;14
03.11.2020;2;1;3;4;2;14
04.11.2020;;2;5;3;3;6
05.11.2020;6;2;4;7;5;16
06.11.2020;5;1;4;4;5;11
07.11.2020;;6;5;4;6;9
08.11.2020;;7;2;4;5;13
09.11.2020;9;2;1;4;2;23
10.11.2020;2;1;;4;9;13
11.11.2020;2;6;2;2;2;7
12.11.2020;5;3;1;3;;14
13.11.2020;6;1;3;6;6;15
14.11.2020;;6;3;9;4;8
15.11.2020;;;4;5;6;6
16.11.2020;13;4;;6;5;11
17.11.2020;6;3;1;6;4;21
18.11.2020;2;2;3;2;4;18
19.11.2020;3;4;2;3;6;12
20.11.2020;3;3;3;5;3;10
21.11.2020;;4;7;4;4;10
22.11.2020;;2;;7;5;12
23.11.2020;6;1;4;2;3;13
24.11.2020;1;4;5;3;2;11
25.11.2020;3;5;2;2;2;
26.11.2020;2;4;1;2;5;
27.11.2020;2;2;1;4;4;
28.11.2020;;1;2;3;4;
29.11.2020;;7;3;3;1;
30.11.2020;7;5;4;5;;
01.12.2020;4;2;9;2;1;
02.12.2020;3;2;7;3;2;
03.12.2020;3;4;;3;;
04.12.2020;1;2;1;4;4;
05.12.2020;;4;4;4;2;
06.12.2020;;6;4;3;4;
07.12.2020;10;3;5;1;4;
08.12.2020;6;2;2;2;1;
09.12.2020;3;2;3;5;3;
10.12.2020;2;3;2;4;2;
11.12.2020;2;2;3;3;4;
12.12.2020;;5;;7;7;
13.12.2020;;4;1;;4;
14.12.2020;7;2;3;5;4;
15.12.2020;4;3;2;3;2;
16.12.2020;1;2;7;6;4;
17.12.2020;3;;4;3;1;
18.12.2020;4;3;1;5;3;
19.12.2020;;3;3;4;1;
20.12.2020;;1;3;5;8;
21.12.2020;12;2;5;4;6;
22.12.2020;4;1;5;5;3;
23.12.2020;7;5;4;3;2;
24.12.2020;4;2;8;5;4;
25.12.2020;1;3;2;5;;
26.12.2020;;3;3;4;4;
27.12.2020;;;2;5;3;
28.12.2020;9;8;4;3;6;
29.12.2020;3;2;2;6;3;
30.12.2020;3;4;4;5;5;
31.12.2020;4;2;4;9;5;
