Date;2016;2017;2018;2019;2020
04.11.2020;18;15;22;18;23
05.11.2020;14;10;18;11;29
06.11.2020;10;14;13;17;31
07.11.2020;15;12;15;18;31
08.11.2020;16;15;11;11;24
09.11.2020;25;24;15;22;38
10.11.2020;16;14;13;13;36
11.11.2020;9;12;11;18;42
12.11.2020;11;7;14;27;30
13.11.2020;10;14;21;19;36
14.11.2020;17;17;14;17;41
15.11.2020;22;12;14;16;42
16.11.2020;12;15;17;16;50
17.11.2020;13;20;7;13;49
18.11.2020;11;10;18;16;36
19.11.2020;23;12;24;6;43
20.11.2020;15;17;10;16;54
21.11.2020;8;13;17;16;43
22.11.2020;15;13;19;16;49
23.11.2020;18;11;12;15;53
24.11.2020;16;15;20;24;35
25.11.2020;15;16;14;23;43
26.11.2020;18;12;14;9;51
27.11.2020;15;18;16;9;38
28.11.2020;17;11;11;15;48
29.11.2020;14;15;12;7;36
30.11.2020;18;10;15;20;29
01.12.2020;14;13;9;8;41
02.12.2020;23;11;21;20;58
03.12.2020;6;14;13;12;33
04.12.2020;14;19;10;13;42
05.12.2020;9;11;26;14;30
06.12.2020;7;11;15;12;32
07.12.2020;17;15;16;19;30
08.12.2020;10;17;13;14;39
09.12.2020;15;9;16;13;48
10.12.2020;16;17;15;24;24
11.12.2020;16;14;14;24;
12.12.2020;9;11;17;12;
13.12.2020;16;14;10;16;
14.12.2020;14;14;14;14;
15.12.2020;14;16;18;25;
16.12.2020;22;12;11;15;
17.12.2020;16;12;21;11;
18.12.2020;25;13;16;18;
19.12.2020;11;17;13;25;
20.12.2020;6;16;16;11;
21.12.2020;16;11;17;24;
22.12.2020;23;12;15;12;
23.12.2020;10;13;19;23;
24.12.2020;5;10;16;21;
25.12.2020;12;8;14;20;
26.12.2020;17;14;14;16;
27.12.2020;20;15;21;21;
28.12.2020;17;16;11;13;
29.12.2020;27;16;26;18;
30.12.2020;13;11;19;17;
31.12.2020;17;;;;
