Date;2016;2017;2018;2019;2020
21.04.2020;2;1;1;1;
22.04.2020;;1;1;1;2
23.04.2020;1;1;;2;1
24.04.2020;;2;1;1;1
25.04.2020;;;1;1;1
26.04.2020;1;;;;1
27.04.2020;3;1;3;;
28.04.2020;5;2;1;1;1
29.04.2020;1;;;;
30.04.2020;;1;;;
01.05.2020;;;;;1
02.05.2020;;;;1;1
03.05.2020;3;1;;1;1
04.05.2020;2;2;1;1;
05.05.2020;1;;1;1;1
06.05.2020;2;2;;;
07.05.2020;1;1;1;;
08.05.2020;;;1;2;
09.05.2020;1;3;;2;1
10.05.2020;1;2;;;1
11.05.2020;3;;;;
12.05.2020;1;;1;2;
13.05.2020;1;;;1;1
14.05.2020;4;2;1;1;1
15.05.2020;1;2;2;;1
16.05.2020;1;3;4;;2
17.05.2020;2;2;2;;1
18.05.2020;3;;1;;1
19.05.2020;;1;;1;1
20.05.2020;;2;1;1;
21.05.2020;1;2;;;
22.05.2020;1;2;;3;
23.05.2020;3;2;;;
24.05.2020;1;1;1;1;
25.05.2020;1;;2;2;
26.05.2020;;;1;;1
27.05.2020;3;1;;3;1
28.05.2020;;1;;1;1
29.05.2020;2;2;;1;1
30.05.2020;;2;;;1
31.05.2020;2;;1;;2
01.06.2020;2;1;1;1;1
02.06.2020;4;2;1;;1
03.06.2020;2;2;;1;3
04.06.2020;;;;2;
05.06.2020;2;;1;2;2
06.06.2020;;1;;1;2
07.06.2020;;2;;;
08.06.2020;3;;;1;1
09.06.2020;1;;1;3;1
10.06.2020;2;1;;;1
11.06.2020;1;1;1;1;
12.06.2020;1;;;1;2
13.06.2020;1;1;1;;
14.06.2020;2;1;2;1;4
15.06.2020;1;2;1;;
16.06.2020;1;;2;;2
17.06.2020;;2;2;;1
18.06.2020;2;1;;;1
19.06.2020;1;2;1;;1
20.06.2020;1;1;1;;
21.06.2020;1;;1;1;
22.06.2020;1;2;2;1;1
23.06.2020;;;1;2;1
24.06.2020;;2;5;2;4
25.06.2020;2;;2;1;
26.06.2020;;;;;
27.06.2020;1;4;1;;2
28.06.2020;1;;;;
29.06.2020;2;1;;1;1
30.06.2020;1;2;1;1;
01.07.2020;1;1;2;;
02.07.2020;;2;;2;
03.07.2020;1;2;1;;
04.07.2020;;1;;3;3
05.07.2020;1;;1;2;3
06.07.2020;1;2;1;;2
07.07.2020;;1;;;
08.07.2020;1;1;;1;3
09.07.2020;2;;1;;1
10.07.2020;;2;1;;2
11.07.2020;1;1;1;2;2
12.07.2020;;2;4;1;
13.07.2020;1;1;2;;1
14.07.2020;1;;2;;2
15.07.2020;1;3;;2;2
16.07.2020;2;3;;2;
17.07.2020;1;;1;;3
18.07.2020;;;;;2
19.07.2020;;2;1;;1
20.07.2020;2;1;2;2;2
21.07.2020;2;1;3;1;1
22.07.2020;1;;1;2;
23.07.2020;2;1;1;;
24.07.2020;;;;;1
25.07.2020;;1;1;1;
26.07.2020;;3;2;;1
27.07.2020;4;2;;;1
28.07.2020;3;;;1;
29.07.2020;1;;1;1;
30.07.2020;2;2;1;1;3
31.07.2020;;;3;;
01.08.2020;;2;1;1;
02.08.2020;1;2;1;2;2
03.08.2020;1;;1;1;1
04.08.2020;;;1;1;1
05.08.2020;;2;;1;1
06.08.2020;;1;1;1;2
07.08.2020;;2;1;1;1
08.08.2020;;3;1;;
09.08.2020;2;2;1;1;3
10.08.2020;2;1;;5;1
11.08.2020;1;1;2;;
12.08.2020;1;1;1;;1
13.08.2020;;1;;3;
14.08.2020;1;2;;2;
15.08.2020;;;1;3;
16.08.2020;2;1;1;1;1
17.08.2020;2;;1;1;2
18.08.2020;;;3;3;1
19.08.2020;;1;;3;2
20.08.2020;2;;2;1;3
21.08.2020;;2;2;;4
22.08.2020;1;1;;3;3
23.08.2020;1;1;1;2;1
24.08.2020;;;1;1;2
25.08.2020;1;1;2;;2
26.08.2020;1;1;2;;
27.08.2020;2;1;;;1
28.08.2020;;1;2;;1
29.08.2020;2;;;;
30.08.2020;5;1;1;2;
31.08.2020;1;1;3;1;1
01.09.2020;;;;;1
02.09.2020;3;3;2;2;1
03.09.2020;1;1;1;;4
04.09.2020;1;2;1;;
05.09.2020;;1;1;;1
06.09.2020;;1;1;1;2
07.09.2020;2;;1;2;
08.09.2020;3;;1;1;
09.09.2020;1;3;;2;3
10.09.2020;;;;2;3
11.09.2020;;1;1;;1
12.09.2020;2;3;2;;
13.09.2020;1;2;2;1;
14.09.2020;;;;1;1
15.09.2020;1;2;;2;
16.09.2020;2;1;1;;
17.09.2020;1;1;;;2
18.09.2020;;1;1;3;3
19.09.2020;;2;1;;
20.09.2020;;1;;;3
21.09.2020;2;;;;
22.09.2020;3;1;2;1;1
23.09.2020;;1;;;2
24.09.2020;;1;2;;1
25.09.2020;;1;;3;1
26.09.2020;;2;;1;2
27.09.2020;1;;2;1;
28.09.2020;;1;1;;2
29.09.2020;;;;2;
30.09.2020;2;1;;2;1
01.10.2020;;1;;;
02.10.2020;;1;1;2;3
03.10.2020;1;1;;;1
04.10.2020;2;4;;;2
05.10.2020;1;;;4;2
06.10.2020;2;2;1;1;2
07.10.2020;;1;;;1
08.10.2020;1;2;3;2;
09.10.2020;;2;1;3;2
10.10.2020;;1;1;1;2
11.10.2020;1;1;1;1;3
12.10.2020;1;;1;;1
13.10.2020;1;;;;1
14.10.2020;;3;3;;1
15.10.2020;4;;3;3;
16.10.2020;;1;3;;1
17.10.2020;3;2;;;2
18.10.2020;1;;3;2;
19.10.2020;2;1;2;1;
20.10.2020;1;2;;1;1
21.10.2020;;;1;2;
22.10.2020;;;1;2;4
23.10.2020;1;;;1;
24.10.2020;1;1;;1;2
25.10.2020;1;1;1;;4
26.10.2020;1;2;1;;1
27.10.2020;1;2;1;3;2
28.10.2020;2;1;2;1;1
29.10.2020;;1;;;2
30.10.2020;;1;1;1;
31.10.2020;1;1;1;1;1
01.11.2020;;;;1;1
02.11.2020;3;;1;;
03.11.2020;;2;;;1
04.11.2020;1;1;;1;1
05.11.2020;2;;2;2;1
06.11.2020;;1;1;;
07.11.2020;;2;;1;
08.11.2020;;1;1;;1
09.11.2020;1;;3;;2
10.11.2020;;1;;;1
11.11.2020;2;;1;;2
12.11.2020;;;;2;1
13.11.2020;1;1;;1;1
14.11.2020;1;;1;1;2
15.11.2020;1;;1;;
16.11.2020;;;1;2;1
17.11.2020;;;;1;
18.11.2020;1;2;1;4;1
19.11.2020;;1;;;
20.11.2020;;2;3;;2
21.11.2020;;1;2;2;1
22.11.2020;;;;1;2
23.11.2020;1;2;;1;2
24.11.2020;1;3;1;2;1
25.11.2020;1;1;;1;1
26.11.2020;2;2;;2;
27.11.2020;;;;1;2
28.11.2020;4;2;;;
29.11.2020;2;;;;1
30.11.2020;5;;;2;2
01.12.2020;;;1;2;1
02.12.2020;;;1;1;
03.12.2020;2;1;;1;1
04.12.2020;1;2;2;;1
05.12.2020;2;;;1;1
06.12.2020;;;3;1;
07.12.2020;2;;1;3;3
08.12.2020;1;;;;
09.12.2020;3;1;2;2;1
10.12.2020;;1;;;2
11.12.2020;;;2;2;2
12.12.2020;;1;1;1;
13.12.2020;2;2;;4;1
14.12.2020;;1;;;
15.12.2020;1;1;1;;
16.12.2020;1;1;1;;
17.12.2020;1;1;2;2;
18.12.2020;1;2;;;
19.12.2020;1;1;1;;
20.12.2020;2;;1;2;
21.12.2020;;;;;
22.12.2020;;2;2;1;
23.12.2020;;;;1;
24.12.2020;3;1;;;
25.12.2020;;2;1;;
26.12.2020;1;;1;;
27.12.2020;1;;;;
28.12.2020;1;;3;;
29.12.2020;1;2;;2;
30.12.2020;2;;2;;
31.12.2020;;1;;;
